Brand,Model,Reference,Year,Price,ImageUrl,Description
Rolex,Submariner Date,126610LN,2023,$10250,https://content.rolex.com/v7/dam/2023/upright-bba-with-shadow/m126610ln-0001.png?imwidth=800,The archetypal diving watch.
Omega,Speedmaster Moonwatch,310.30.42.50.01.001,2022,$7000,https://www.omegawatches.com/media/catalog/product/cache/a5c37fddc1a529a1a44fea55d527b9a1/3/1/31030425001001-small.png,The watch that went to the moon.
Casio,G-Shock,GA2100-1A1,2021,$99,https://www.casio.com/content/dam/casio/product-info/locales/us/en/timepiece/product/G/GA/GA2/GA-2100-1A1/assets/GA-2100-1A1.png.transform/product-panel/image.png,The CasiOak. Tough and stylish.
